"В Архангельске задержали мужчину, распылившего огнетушитель в автобусе ",https://ria.ru/20241014/arhangelsk-1978033216.html,"['Архангельская область', 'Происшествия', 'Архангельск', 'Федеральная служба войск национальной гвардии РФ (Росгвардия)']"
"На ""Сделано в России"" прошло заседание Комиссии Госсовета по экспорту ",https://ria.ru/20241014/forum-1978018023.html,"['Архангельская область', 'Экономика', 'Россия', 'Москва', 'Александр Цыбульский', 'Вероника Никишина', 'Росэксимбанк', 'Фонд ""Росконгресс""']"
"Цыбульский обсудил с архангельской молодежью работу ""Движения Первых"" ",https://ria.ru/20241012/tsybulskiy-1977750494.html,"['Архангельская область', 'Архангельская область', 'Общество', 'Россия', 'Москва', 'Александр Цыбульский', 'Владимир Путин']"
"Патриарх Кирилл наградил Чернышенко знаком ""За труды по просвещению"" ",https://ria.ru/20241010/chernyshenko-1977436469.html,"['Архангельская область', 'Россия', 'Москва', 'Дмитрий Чернышенко', 'Патриарх Кирилл (Владимир Гундяев)', 'Владимир Путин', 'Русская православная церковь']"
Эвакуировать погибших в Непале российских альпинистов не удалось ,https://ria.ru/20241010/alpinisty-1977347154.html,"['Непал', 'Пенза', 'Ленинградская область', 'В мире']"
Появились подробности о погибших в Непале российских альпинистах ,https://ria.ru/20241008/alpinist-1976965295.html,"['Архангельская область', 'Непал', 'Россия', 'Происшествия']"
С эвакуацией тел погибших в Непале альпинистов могут возникнуть трудности ,https://ria.ru/20241008/alpinist-1976964207.html,"['Архангельская область', 'Непал', 'Гималаи', 'Происшествия']"
Альпинисты в Непале начали сбор средств для вывоза тел погибших товарищей ,https://ria.ru/20241008/nepal-1976915123.html,"['Архангельская область', 'Непал', 'Гималаи']"
Большунов перешел в сборную Татарстана ,https://rsport.ria.ru/20241005/bolshunov-1976553969.html,"['Архангельская область', 'Лыжные гонки', 'Спорт', 'Республика Татарстан (Татарстан)', 'Россия', 'Александр Большунов', 'Вероника Степанова']"
На борту разбившегося вертолета был депутат городской думы Архангельска ,https://ria.ru/20240927/arkhangelsk-1975035764.html,"['Архангельская область', 'Архангельск', 'Происшествия', 'МЧС России (Министерство РФ по делам гражданской обороны, чрезвычайным ситуациям и ликвидации последствий стихийных бедствий)', 'Россия']"
После крушения вертолета в Архангельской области завели дело ,https://ria.ru/20240927/vertolet-1975021734.html,"['Архангельская область', 'Происшествия', 'Следственный комитет России (СК РФ)']"
В Архангельской области нашли пропавший вертолет Robinson 44 ,https://ria.ru/20240927/vertolet-1975006537.html,"['Архангельская область', 'Происшествия', 'Robinson R-44']"
Ми-8 вылетел на поиски пропавшего в Архангельской области вертолета ,https://ria.ru/20240927/vertolet-1974992098.html,"['Архангельская область', 'Происшествия', 'Россия', 'Федеральное агентство воздушного транспорта (Росавиация)', 'МЧС России (Министерство РФ по делам гражданской обороны, чрезвычайным ситуациям и ликвидации последствий стихийных бедствий)', 'Ми-8 АМТШ']"
В Архангельской области начали проверку после пропажи частного вертолета ,https://ria.ru/20240926/vertolet-1974940741.html,"['Архангельская область', 'Происшествия', 'Россия', 'Северо-Западная транспортная прокуратура', 'Следственный комитет России (СК РФ)']"
Пропавший в Архангельской области вертолет не предоставил план полета ,https://ria.ru/20240926/vertolet-1974934904.html,"['Архангельская область', 'Происшествия', 'Россия']"
В Архангельской области ведут поиск пропавшего с радаров вертолета ,https://ria.ru/20240926/vertolet-1974932967.html,"['Архангельская область', 'Россия', 'Происшествия', 'Северо-Западная транспортная прокуратура', 'Следственный комитет России (СК РФ)']"
В Архангельской области пропал с радаров частный вертолет ,https://ria.ru/20240926/vertolet-1974926661.html,"['Архангельская область', 'Архангельск', 'Происшествия', 'Россия']"
Цыбульский рассказал о роли регионов в развитии экспорта ,https://ria.ru/20240926/regiony-1974725200.html,"['Архангельская область', 'Архангельская область', 'Экономика', 'Россия', 'Индия', 'Александр Цыбульский', 'Владимир Путин', 'РЖД']"
Более 30 мер поддержки семей с детьми работают в Архангельской области ,https://ria.ru/20240925/deti-1974725042.html,"['Архангельская область', 'Архангельская область', 'Общество', 'Россия', 'Владимир Путин']"
Цыбульский обозначил приоритеты работы комиссии Госсовета по экспорту ,https://ria.ru/20241014/tsybulskiy-1978033653.html,"['Архангельская область', 'Архангельская область', 'Россия', 'Александр Цыбульский', 'Алексей Дюмин', 'Вероника Никишина', 'Росэксимбанк', 'Фонд ""Росконгресс""']"
"В Архангельске задержали мужчину, распылившего огнетушитель в автобусе ",https://ria.ru/20241014/arhangelsk-1978033216.html,"['Архангельская область', 'Происшествия', 'Архангельск', 'Федеральная служба войск национальной гвардии РФ (Росгвардия)']"
"На ""Сделано в России"" прошло заседание Комиссии Госсовета по экспорту ",https://ria.ru/20241014/forum-1978018023.html,"['Архангельская область', 'Экономика', 'Россия', 'Москва', 'Александр Цыбульский', 'Вероника Никишина', 'Росэксимбанк', 'Фонд ""Росконгресс""']"
"Цыбульский обсудил с архангельской молодежью работу ""Движения Первых"" ",https://ria.ru/20241012/tsybulskiy-1977750494.html,"['Архангельская область', 'Архангельская область', 'Общество', 'Россия', 'Москва', 'Александр Цыбульский', 'Владимир Путин']"
"Патриарх Кирилл наградил Чернышенко знаком ""За труды по просвещению"" ",https://ria.ru/20241010/chernyshenko-1977436469.html,"['Архангельская область', 'Россия', 'Москва', 'Дмитрий Чернышенко', 'Патриарх Кирилл (Владимир Гундяев)', 'Владимир Путин', 'Русская православная церковь']"
Эвакуировать погибших в Непале российских альпинистов не удалось ,https://ria.ru/20241010/alpinisty-1977347154.html,"['Непал', 'Пенза', 'Ленинградская область', 'В мире']"
Появились подробности о погибших в Непале российских альпинистах ,https://ria.ru/20241008/alpinist-1976965295.html,"['Архангельская область', 'Непал', 'Россия', 'Происшествия']"
С эвакуацией тел погибших в Непале альпинистов могут возникнуть трудности ,https://ria.ru/20241008/alpinist-1976964207.html,"['Архангельская область', 'Непал', 'Гималаи', 'Происшествия']"
Альпинисты в Непале начали сбор средств для вывоза тел погибших товарищей ,https://ria.ru/20241008/nepal-1976915123.html,"['Архангельская область', 'Непал', 'Гималаи']"
Большунов перешел в сборную Татарстана ,https://rsport.ria.ru/20241005/bolshunov-1976553969.html,"['Архангельская область', 'Лыжные гонки', 'Спорт', 'Республика Татарстан (Татарстан)', 'Россия', 'Александр Большунов', 'Вероника Степанова']"
На борту разбившегося вертолета был депутат городской думы Архангельска ,https://ria.ru/20240927/arkhangelsk-1975035764.html,"['Архангельская область', 'Архангельск', 'Происшествия', 'МЧС России (Министерство РФ по делам гражданской обороны, чрезвычайным ситуациям и ликвидации последствий стихийных бедствий)', 'Россия']"
После крушения вертолета в Архангельской области завели дело ,https://ria.ru/20240927/vertolet-1975021734.html,"['Архангельская область', 'Происшествия', 'Следственный комитет России (СК РФ)']"
В Архангельской области нашли пропавший вертолет Robinson 44 ,https://ria.ru/20240927/vertolet-1975006537.html,"['Архангельская область', 'Происшествия', 'Robinson R-44']"
Ми-8 вылетел на поиски пропавшего в Архангельской области вертолета ,https://ria.ru/20240927/vertolet-1974992098.html,"['Архангельская область', 'Происшествия', 'Россия', 'Федеральное агентство воздушного транспорта (Росавиация)', 'МЧС России (Министерство РФ по делам гражданской обороны, чрезвычайным ситуациям и ликвидации последствий стихийных бедствий)', 'Ми-8 АМТШ']"
В Архангельской области начали проверку после пропажи частного вертолета ,https://ria.ru/20240926/vertolet-1974940741.html,"['Архангельская область', 'Происшествия', 'Россия', 'Северо-Западная транспортная прокуратура', 'Следственный комитет России (СК РФ)']"
Пропавший в Архангельской области вертолет не предоставил план полета ,https://ria.ru/20240926/vertolet-1974934904.html,"['Архангельская область', 'Происшествия', 'Россия']"
В Архангельской области ведут поиск пропавшего с радаров вертолета ,https://ria.ru/20240926/vertolet-1974932967.html,"['Архангельская область', 'Россия', 'Происшествия', 'Северо-Западная транспортная прокуратура', 'Следственный комитет России (СК РФ)']"
В Архангельской области пропал с радаров частный вертолет ,https://ria.ru/20240926/vertolet-1974926661.html,"['Архангельская область', 'Архангельск', 'Происшествия', 'Россия']"
Цыбульский рассказал о роли регионов в развитии экспорта ,https://ria.ru/20240926/regiony-1974725200.html,"['Архангельская область', 'Архангельская область', 'Экономика', 'Россия', 'Индия', 'Александр Цыбульский', 'Владимир Путин', 'РЖД']"
Более 30 мер поддержки семей с детьми работают в Архангельской области ,https://ria.ru/20240925/deti-1974725042.html,"['Архангельская область', 'Архангельская область', 'Общество', 'Россия', 'Владимир Путин']"
Архангельские депутаты скорректировали налоги для повышения доходов бюджета ,https://ria.ru/20240925/arkhangelsk-1974706146.html,"['Архангельская область', 'Архангельская область', 'Экономика', 'Архангельск']"
"Выступление Путина на заседании Госсовета будет открытым, заявил Песков ",https://ria.ru/20240925/putin-1974572192.html,"['Архангельская область', 'Россия', 'Владимир Путин', 'Дмитрий Песков', 'Александр Цыбульский']"
Путин проведет заседание президиума Госсовета по вопросу развития экспорта ,https://ria.ru/20240924/putin-1974437410.html,"['Владимир Путин', 'Россия', 'Экономика']"
"КС вступился за учительницу, которой отказались поднять зарплату выше МРОТ ",https://ria.ru/20240923/zarplata-1974255868.html,"['Архангельская область', 'Общество', 'Россия', 'Образование - Общество', 'Конституционный суд РФ']"
"Названы регионы России, где можно купить квартиру дешевле 150 тысяч рублей ",https://realty.ria.ru/20240920/regiony-1973687644.html,"['Архангельская область', 'Жилье', 'Россия', 'ЦИАН', 'Цены', 'Вторичное жилье', 'Воркута', 'Республика Коми']"
Педагог и мама 11 детей из Архангельской области стала матерью-героиней ,https://ria.ru/20240919/mat-geroinya-1973711507.html,"['Архангельская область', 'Архангельская область', 'Общество', 'Александр Цыбульский', 'Россия']"
"Путин присвоил звание ""Мать-героиня"" нескольким многодетным матерям ",https://ria.ru/20240919/putin-1973636447.html,"['Архангельская область', 'Общество', 'Свердловская область', 'Россия', 'Владимир Путин']"
"С космодрома Плесецк запустили ракету ""Ангара-1.2"" ",https://ria.ru/20240917/angara-1973117082.html,"['Архангельская область', 'Космос - РИА Наука', 'Плесецк', 'Россия']"
Сотрудников архангельского вуза заподозрили в подлоге ,https://ria.ru/20240916/podlog-1973063107.html,"['Архангельская область', 'Происшествия', 'Россия', 'Следственный комитет России (СК РФ)']"
В Архангельской области мужчина случайно убил отца дверью ,https://ria.ru/20240912/ubiystvo-1972223094.html,"['Архангельская область', 'Происшествия', 'Россия']"
"""Алроса"" спрогнозировала восстановление спроса на алмазы в мире ",https://ria.ru/20240910/alrosa-1971720933.html,"['Архангельская область', 'Алроса', 'Экономика']"
"В Якутии добыли алмаз весом 262,5 карата ",https://ria.ru/20240909/almaz-1971603450.html,"['Архангельская область', 'Экономика', 'Россия', 'Павел Маринычев', 'Алроса']"
"Названы регионы-лидеры по выдаче ""Дальневосточной и арктической ипотеки"" ",https://realty.ria.ru/20240903/ipoteka-1970273246.html,"['Архангельская область', 'Льготная ипотека', 'Регионы', 'Ипотека', 'Приморский край', 'Россия', 'Сбербанк России', 'ДомКлик', 'Дальневосточный федеральный университет', 'Республика Саха (Якутия)', 'Кредиты', 'Жилье', 'ВЭФ — 2024 (Восточный экономический форум) ']"
Власти обсуждают строительство новой верфи на острове Ягры в Северодвинске ,https://ria.ru/20240829/verf-1969331537.html,"['Архангельская область', 'Экономика', 'Россия', 'Северодвинск', 'Денис Мантуров', 'Александр Цыбульский', 'Андрей Костин (банкир)', 'Объединенная судостроительная корпорация', 'Министерство промышленности и торговли РФ (Минпромторг России)', 'Госдума РФ']"
"В Морскую коллегию вошли главы Крыма, Севастополя и Санкт-Петербурга ",https://ria.ru/20240813/kollegiya-1966001339.html,"['Владимир Путин', 'Севастополь', 'Политика', 'Санкт-Петербург', 'Россия']"
В Архангельской области девочке удалили коренные зубы вместо молочных ,https://ria.ru/20240812/zuby-1965646444.html,"['Архангельская область', 'Происшествия', 'Коношский район']"
"На форуме ""Арктика - Регионы"" в Архангельске обсудили развитие Севера ",https://ria.ru/20240808/forum-1965062903.html,"['Архангельская область', 'Архангельская область', 'Экономика', 'Арктика', 'Россия', 'Николай Патрушев', 'Александр Цыбульский', 'Алексей Чекунков', 'Сбербанк России', 'Норильский никель']"
"""Росатом"" отметил высокий вклад работающих в Арктике россиян в ВВП страны ",https://ria.ru/20240808/arktika-1964958428.html,"['Экономика', 'Арктика', 'Архангельск', 'Россия', 'Владимир Панов', 'Государственная корпорация по атомной энергии ""Росатом""']"
Патрушев призвал укреплять присутствие в Арктике ,https://ria.ru/20240808/arktika-1964823568.html,"['Россия', 'Арктика', 'Архангельск', 'Николай Патрушев', 'Владимир Путин', 'Государственная корпорация по атомной энергии ""Росатом""']"
В Архангельской области потушили пожар на складе ,https://ria.ru/20240805/pozhar-1964054035.html,"['Архангельская область', 'Происшествия', 'Россия', 'МЧС России (Министерство РФ по делам гражданской обороны, чрезвычайным ситуациям и ликвидации последствий стихийных бедствий)', 'Северодвинск']"
Архангельские депутаты скорректировали налоги для повышения доходов бюджета ,https://ria.ru/20240925/arkhangelsk-1974706146.html,"['Архангельская область', 'Архангельская область', 'Экономика', 'Архангельск']"
"Выступление Путина на заседании Госсовета будет открытым, заявил Песков ",https://ria.ru/20240925/putin-1974572192.html,"['Архангельская область', 'Россия', 'Владимир Путин', 'Дмитрий Песков', 'Александр Цыбульский']"
Путин проведет заседание президиума Госсовета по вопросу развития экспорта ,https://ria.ru/20240924/putin-1974437410.html,"['Владимир Путин', 'Россия', 'Экономика']"
"КС вступился за учительницу, которой отказались поднять зарплату выше МРОТ ",https://ria.ru/20240923/zarplata-1974255868.html,"['Архангельская область', 'Общество', 'Россия', 'Образование - Общество', 'Конституционный суд РФ']"
"Названы регионы России, где можно купить квартиру дешевле 150 тысяч рублей ",https://realty.ria.ru/20240920/regiony-1973687644.html,"['Архангельская область', 'Жилье', 'Россия', 'ЦИАН', 'Цены', 'Вторичное жилье', 'Воркута', 'Республика Коми']"
Педагог и мама 11 детей из Архангельской области стала матерью-героиней ,https://ria.ru/20240919/mat-geroinya-1973711507.html,"['Архангельская область', 'Архангельская область', 'Общество', 'Александр Цыбульский', 'Россия']"
"Путин присвоил звание ""Мать-героиня"" нескольким многодетным матерям ",https://ria.ru/20240919/putin-1973636447.html,"['Архангельская область', 'Общество', 'Свердловская область', 'Россия', 'Владимир Путин']"
"С космодрома Плесецк запустили ракету ""Ангара-1.2"" ",https://ria.ru/20240917/angara-1973117082.html,"['Архангельская область', 'Космос - РИА Наука', 'Плесецк', 'Россия']"
Сотрудников архангельского вуза заподозрили в подлоге ,https://ria.ru/20240916/podlog-1973063107.html,"['Архангельская область', 'Происшествия', 'Россия', 'Следственный комитет России (СК РФ)']"
В Архангельской области мужчина случайно убил отца дверью ,https://ria.ru/20240912/ubiystvo-1972223094.html,"['Архангельская область', 'Происшествия', 'Россия']"
"""Алроса"" спрогнозировала восстановление спроса на алмазы в мире ",https://ria.ru/20240910/alrosa-1971720933.html,"['Архангельская область', 'Алроса', 'Экономика']"
"В Якутии добыли алмаз весом 262,5 карата ",https://ria.ru/20240909/almaz-1971603450.html,"['Архангельская область', 'Экономика', 'Россия', 'Павел Маринычев', 'Алроса']"
"Названы регионы-лидеры по выдаче ""Дальневосточной и арктической ипотеки"" ",https://realty.ria.ru/20240903/ipoteka-1970273246.html,"['Архангельская область', 'Льготная ипотека', 'Регионы', 'Ипотека', 'Приморский край', 'Россия', 'Сбербанк России', 'ДомКлик', 'Дальневосточный федеральный университет', 'Республика Саха (Якутия)', 'Кредиты', 'Жилье', 'ВЭФ — 2024 (Восточный экономический форум) ']"
Власти обсуждают строительство новой верфи на острове Ягры в Северодвинске ,https://ria.ru/20240829/verf-1969331537.html,"['Архангельская область', 'Экономика', 'Россия', 'Северодвинск', 'Денис Мантуров', 'Александр Цыбульский', 'Андрей Костин (банкир)', 'Объединенная судостроительная корпорация', 'Министерство промышленности и торговли РФ (Минпромторг России)', 'Госдума РФ']"
"В Морскую коллегию вошли главы Крыма, Севастополя и Санкт-Петербурга ",https://ria.ru/20240813/kollegiya-1966001339.html,"['Владимир Путин', 'Севастополь', 'Политика', 'Санкт-Петербург', 'Россия']"
В Архангельской области девочке удалили коренные зубы вместо молочных ,https://ria.ru/20240812/zuby-1965646444.html,"['Архангельская область', 'Происшествия', 'Коношский район']"
"На форуме ""Арктика - Регионы"" в Архангельске обсудили развитие Севера ",https://ria.ru/20240808/forum-1965062903.html,"['Архангельская область', 'Архангельская область', 'Экономика', 'Арктика', 'Россия', 'Николай Патрушев', 'Александр Цыбульский', 'Алексей Чекунков', 'Сбербанк России', 'Норильский никель']"
"""Росатом"" отметил высокий вклад работающих в Арктике россиян в ВВП страны ",https://ria.ru/20240808/arktika-1964958428.html,"['Экономика', 'Арктика', 'Архангельск', 'Россия', 'Владимир Панов', 'Государственная корпорация по атомной энергии ""Росатом""']"
Патрушев призвал укреплять присутствие в Арктике ,https://ria.ru/20240808/arktika-1964823568.html,"['Россия', 'Арктика', 'Архангельск', 'Николай Патрушев', 'Владимир Путин', 'Государственная корпорация по атомной энергии ""Росатом""']"
В Архангельской области потушили пожар на складе ,https://ria.ru/20240805/pozhar-1964054035.html,"['Архангельская область', 'Происшествия', 'Россия', 'МЧС России (Министерство РФ по делам гражданской обороны, чрезвычайным ситуациям и ликвидации последствий стихийных бедствий)', 'Северодвинск']"
Архангельские депутаты скорректировали налоги для повышения доходов бюджета ,https://ria.ru/20240925/arkhangelsk-1974706146.html,"['Архангельская область', 'Архангельская область', 'Экономика', 'Архангельск']"
"Выступление Путина на заседании Госсовета будет открытым, заявил Песков ",https://ria.ru/20240925/putin-1974572192.html,"['Архангельская область', 'Россия', 'Владимир Путин', 'Дмитрий Песков', 'Александр Цыбульский']"
